run_id,test_accuracy,test_f1,test_precision,test_recall,n_selected_features,selected_feature_names,energy_kwh,carbon_kg,duration_seconds,energy_adjusted_accuracy,carbon_efficiency_score,pareto_rank,peak_cpu_usage,peak_memory_usage,peak_gpu_usage,hyperparameters
1,1.0,1.0,1.0,1.0,1,['Time to Death (days)'],0.027870691772130165,0.027870691772130165,2226.49688911438,0.997212930822787,35.879984902275346,1,100.0,84.1,0.0,"{'population_size': 40, 'max_generations': 20, 'crossover_prob': 0.8, 'mutation_prob': 0.5, 'energy_weight': 0.1}"
2,1.0,1.0,1.0,1.0,1,['Time to Death (days)'],0.078865073934517,0.078865073934517,6299.561217308044,0.9921134926065484,12.679884137689605,25,100.0,86.6,0.0,"{'population_size': 40, 'max_generations': 20, 'crossover_prob': 0.8, 'mutation_prob': 0.5, 'energy_weight': 0.1}"
3,1.0,1.0,1.0,1.0,1,['Time to Death (days)'],0.6195502574416857,0.6195502574416857,49481.95142912865,0.9380449742558314,1.614074060963688,28,100.0,90.8,0.0,"{'population_size': 40, 'max_generations': 20, 'crossover_prob': 0.8, 'mutation_prob': 0.5, 'energy_weight': 0.1}"
4,1.0,1.0,1.0,1.0,1,['Time to Death (days)'],0.03229406203801394,0.03229406203801394,2579.8947846889496,0.9967705937961986,30.96544494225847,11,100.0,89.6,0.0,"{'population_size': 40, 'max_generations': 20, 'crossover_prob': 0.8, 'mutation_prob': 0.5, 'energy_weight': 0.1}"
5,1.0,1.0,1.0,1.0,1,['Time to Death (days)'],0.02997492468804557,0.02997492468804557,2395.1691088676453,0.9970025075311955,33.36121809836654,4,100.0,94.7,0.0,"{'population_size': 40, 'max_generations': 20, 'crossover_prob': 0.8, 'mutation_prob': 0.5, 'energy_weight': 0.1}"
6,1.0,1.0,1.0,1.0,1,['Time to Death (days)'],0.0322109662572044,0.0322109662572044,2574.394938468933,0.9967789033742795,31.04532760721939,9,100.0,90.1,0.0,"{'population_size': 40, 'max_generations': 20, 'crossover_prob': 0.8, 'mutation_prob': 0.5, 'energy_weight': 0.1}"
7,1.0,1.0,1.0,1.0,1,['Time to Death (days)'],0.028819728236147236,0.028819728236147236,2302.6600980758667,0.9971180271763853,34.69845349706479,2,100.0,88.7,0.0,"{'population_size': 40, 'max_generations': 20, 'crossover_prob': 0.8, 'mutation_prob': 0.5, 'energy_weight': 0.1}"
8,1.0,1.0,1.0,1.0,1,['Time to Death (days)'],0.059501119432723334,0.059501119432723334,4753.071934938431,0.9940498880567277,16.80640649342201,20,100.0,84.9,0.0,"{'population_size': 40, 'max_generations': 20, 'crossover_prob': 0.8, 'mutation_prob': 0.5, 'energy_weight': 0.1}"
9,1.0,1.0,1.0,1.0,1,['Time to Death (days)'],0.03017485563055796,0.03017485563055796,2410.919011592865,0.9969825144369442,33.140175126051105,5,100.0,86.8,0.0,"{'population_size': 40, 'max_generations': 20, 'crossover_prob': 0.8, 'mutation_prob': 0.5, 'energy_weight': 0.1}"
10,1.0,1.0,1.0,1.0,1,['Time to Death (days)'],0.029702782935990192,0.029702782935990192,2373.628302335739,0.997029721706401,33.66687903133556,3,100.0,91.2,0.0,"{'population_size': 40, 'max_generations': 20, 'crossover_prob': 0.8, 'mutation_prob': 0.5, 'energy_weight': 0.1}"
